Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2010","2010","ha","100075800","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2010","2010","hg/ha","26764","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2010","2010","tonnes","267838308","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2011","2011","ha","100625700","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2011","2011","hg/ha","28607","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2011","2011","tonnes","287860000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2012","2012","ha","98969000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2012","2012","hg/ha","29635","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2012","2012","tonnes","293290000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2013","2013","ha","99299950","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2013","2013","hg/ha","29699","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2013","2013","tonnes","294909510","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2014","2014","ha","99988240","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2014","2014","hg/ha","29604","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2014","2014","tonnes","296010000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2015","2015","ha","99533000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2015","2015","hg/ha","28567","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2015","2015","tonnes","284333000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2016","2016","ha","99020000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2016","2016","hg/ha","30080","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2016","2016","tonnes","297850000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2017","2017","ha","99566890","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2017","2017","hg/ha","31213","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2017","2017","tonnes","310782330","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2018","2018","ha","98093520","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2018","2018","hg/ha","32781","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2018","2018","tonnes","321556400","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2019","2019","ha","95244530","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2019","2019","hg/ha","34049","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2019","2019","tonnes","324300640","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2020","2020","ha","102057166","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2020","2020","hg/ha","32828","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2020","2020","tonnes","335035000","E","Estimated value"
